,Coin 0,Coin 1,Coin 2,Coin 3
488,86.43091583--127.47653961,57.85675049--55.80853653,64.13736725--83.51058960,84.57780457--92.64236450
489,86.24668121--127.36954498,55.88356781--56.13692856,64.62417603--83.65612030,84.09957886--92.74314117
490,86.02648926--127.20204926,53.61158371--56.50234604,65.20798492--83.75481415,83.60302734--92.88053894
491,85.82386017--126.92154694,51.24963760--56.88828659,65.88101196--83.57280731,83.21794128--93.04423523
492,85.62248993--126.54307556,48.75744247--57.26254272,66.64038086--83.22140503,82.90880585--93.21829987
493,85.39646912--126.06906891,46.22454453--57.61725235,67.47521973--82.72408295,82.71716309--93.40176392
494,85.11582947--125.53151703,43.78234863--57.96669388,68.40562439--82.13013458,82.73589325--93.59815216
495,84.88378906--124.92156982,41.60237885--58.23268509,69.28320312--81.58292389,82.80253601--93.75900269
496,84.63531494--124.22315216,40.84957886--58.15371323,69.73632812--81.13364410,83.13169861--93.79579163
497,84.62886047--123.55963898,41.53002167--57.77098846,69.78260040--80.68332672,83.64616394--93.75670624
498,84.82718658--123.04550171,43.56505585--57.15047836,69.42334747--80.20861816,84.34709167--93.67396545
499,85.21328735--122.81733704,47.04957199--56.31209564,68.60484314--79.80077362,85.21897125--93.56385040
500,85.80616760--122.95704651,50.32842255--55.70647049,67.82928467--79.28512573,86.02761841--93.57299805
501,86.41384888--123.35895538,52.90528870--55.38565826,67.18128967--79.01146698,86.62910461--93.57917023
502,86.80881500--123.76874542,55.01021957--55.18347931,66.63795471--78.81248474,87.15216064--93.59629822
503,87.06183624--124.12276459,56.70755386--55.02131271,66.21315765--78.66999054,87.56739044--93.63467407
504,87.22831726--124.45891571,58.05453491--54.87205124,65.84140778--78.67253876,87.79779053--93.64278412
505,87.32011414--124.78093719,59.19857788--54.73840332,65.48220825--78.79130554,87.93937683--93.62673187
506,87.37493896--125.08074951,60.02640915--54.67770767,65.18264771--78.95523071,87.98381042--93.59249115
507,87.38978577--125.35395050,60.67966080--54.64630508,64.90905762--79.17806244,87.97351074--93.52239990
508,87.38040161--125.59445953,61.22706985--54.62530899,64.65673828--79.42307281,87.93419647--93.44218445
509,87.35958099--125.82199097,61.70158768--54.61027908,64.41819000--79.69614410,87.85455322--93.35223389
510,87.32667542--126.05084229,62.12530899--54.60268021,64.18215942--80.01027679,87.73402405--93.25004578
511,87.28677368--126.26308441,62.45609665--54.61030197,63.97023773--80.33194733,87.59417725--93.14833069
512,87.24212646--126.46260834,62.71079636--54.62619019,63.78006744--80.66130066,87.43206024--93.04653168
513,87.19253540--126.64965057,62.89568710--54.64949036,63.61076355--80.99404144,87.25339508--92.94824982
514,87.13864136--126.83022308,63.00893784--54.68185806,63.46129608--81.33368683,87.05226135--92.85316467
515,87.07875061--127.00950623,63.02299118--54.73035812,63.33605957--81.68759155,86.81678009--92.76080322
516,87.01216125--127.16861725,62.88721848--54.80154037,63.25644302--82.03214264,86.56162262--92.68129730
517,86.93867493--127.30360413,62.58012772--54.89645767,63.23113632--82.35877228,86.28402710--92.61814880
518,86.85623169--127.41082001,62.07270813--55.01962662,63.26884460--82.66316223,85.98107147--92.57463837
519,86.76254272--127.48726654,61.31797791--55.17903519,63.38234711--82.94369507,85.64272308--92.55364990
520,86.65391541--127.52509308,60.22950745--55.38899231,63.59618378--83.19566345,85.25331116--92.56079865
521,86.51741028--127.50923157,58.78458405--55.64873886,63.91819000--83.41124725,84.82481384--92.60359192
522,86.35015869--127.43557739,57.00091553--55.95243835,64.34517670--83.58389282,84.36366272--92.68347931
523,86.14988708--127.30265808,54.90351105--56.29545593,64.87192535--83.70995331,83.87808228--92.80014038
524,85.93742371--127.08837128,52.58861923--56.67120743,65.49494934--83.69056702,83.42636871--92.95032501
525,85.73776245--126.76444244,50.14580917--57.05828857,66.21311188--83.43202209,83.07046509--93.12113190
526,85.52857208--126.33584595,47.61709213--57.42061234,67.00379944--83.00739288,82.80183411--93.29817963
527,85.27360535--125.84392548,45.09778214--57.78818893,67.89538574--82.47229767,82.70883942--93.49492645
528,85.00630188--125.27558899,42.75553131--58.10425186,68.80725861--81.89459991,82.75133514--93.67715454
529,84.76538086--124.62916565,41.16204834--58.22892761,69.51138306--81.38382721,82.93102264--93.78868103
530,84.61920929--123.93019867,41.01947784--58.01666641,69.79597473--80.92758942,83.34765625--93.78793335
531,84.70102692--123.31089020,42.32400513--57.51218033,69.65875244--80.46512604,83.95101929--93.72101593
532,84.98512268--122.90982819,45.05283737--56.77627563,69.08264160--80.01673126,84.73554993--93.62191772
533,85.47663879--122.84912109,48.51707840--56.02507401,68.26464844--79.55933380,85.58569336--93.56392670
534,86.08021545--123.11484528,51.51770782--55.54307938,67.53677368--79.14131165,86.30709839--93.57503510
535,86.61647034--123.54911804,53.88400650--55.27643204,66.91111755--78.95249939,86.84810638--93.56564331
536,86.92613220--123.94272614,55.82966995--55.11177063,66.42756653--78.74934387,87.35680389--93.61658478
537,87.14627838--124.28034973,57.35284042--54.95325851,66.03897858--78.65657806,87.69169617--93.64239502
538,87.27809143--124.60472107,58.59625626--54.80823135,65.67827606--78.71071625,87.87665558--93.63993835
539,87.35128784--124.91389465,59.58481216--54.70632553,65.34982300--78.84969330,87.97099304--93.61749268
540,87.38597107--125.20668793,60.32552719--54.66203308,65.06040955--79.05126190,87.97856140--93.56280518
541,87.38544464--125.46826172,60.93514252--54.63658524,64.79106903--79.29338074,87.95384979--93.48484039
542,87.37062836--125.69907379,61.44666672--54.61880875,64.54682159--79.54627228,87.90150452--93.40196228
543,87.34567261--125.92417908,61.89677048--54.60621262,64.31188202--79.83295441,87.80558777--93.30764008
544,87.31016541--126.14351654,62.27775192--54.60490799,64.08822632--80.14705658,87.67798615--93.20657349
545,87.26817322--126.35210419,62.57643127--54.61607361,63.88465881--80.47504425,87.52486420--93.10352325
546,87.22027588--126.54949951,62.80178452--54.63587570,63.70105743--80.81228638,87.35107422--93.00123596
547,87.16821289--126.73255157,62.95405960--54.66350555,63.54064178--81.14833832,87.16405487--92.90444946
548,87.11204529--126.91110992,63.02811050--54.70164871,63.40146637--81.49217987,86.95057678--92.81098938
549,87.05007935--127.08066559,62.98250198--54.75867462,63.29549408--81.83946991,86.70915985--92.72460938
550,86.98123169--127.23068237,62.77622986--54.83963394,63.23823547--82.17693329,86.44325256--92.65154266
551,86.90395355--127.35565186,62.37809753--54.94814682,63.24042511--82.49691010,86.15071106--92.59602356
552,86.81556702--127.44944763,61.76166153--55.08740997,63.31096649--82.79270172,85.83224487--92.56224060
553,86.71504211--127.50959015,60.87118912--55.26701736,63.46527481--83.06189728,85.47368622--92.55307007
554,86.59564972--127.52474213,59.63908386--55.49679184,63.72338104--83.29744720,85.06994629--92.57521057
555,86.44821930--127.48424530,58.04579163--55.77626419,64.09198761--83.49266815,84.62670898--92.63396454
556,86.26801300--127.38356781,56.10528183--56.10070038,64.56858063--83.64262390,84.15092468--92.73081970
557,86.05130005--127.22222137,53.86120987--56.46261597,65.14289093--83.74635315,83.65542603--92.86456299
558,85.84587097--126.95464325,51.50501251--56.84718323,65.80686951--83.59683990,83.25627899--93.02610016
559,85.64423370--126.58748627,49.02264023--57.22418594,66.55764771--83.26497650,82.93739319--93.19963074
560,85.42453003--126.11801147,46.49824905--57.57334518,67.37557983--82.77837372,82.72410583--93.37869263
561,85.14787292--125.59626007,44.03738785--57.93399429,68.30513000--82.20005035,82.72801208--93.57935333
562,84.90791321--124.99399567,41.82311630--58.21072769,69.19104004--81.64363098,82.79280090--93.74491119
563,84.66117096--124.30529022,40.89876175--58.17298508,69.69625854--81.17867279,83.09355164--93.79716492
564,84.62724304--123.63105011,41.40732574--57.82431412,69.79339600--80.72540283,83.58757019--93.76427460
565,84.79984283--123.09220123,43.30775070--57.22133636,69.47450256--80.25717926,84.26843262--93.68160248
566,85.16616821--122.82939911,46.65221405--56.40116501,68.70094299--79.84172821,85.12426758--93.57456970
567,85.74200439--122.93209839,49.98763275--55.76362991,67.91137695--79.33787537,85.94406128--93.57027435
568,86.35198212--123.31288910,52.65838242--55.41197586,67.24407959--79.03661346,86.57043457--93.57864380
569,86.77557373--123.72907257,54.81685257--55.19878006,66.68435669--78.83669281,87.09945679--93.59108734
570,87.03938293--124.09060669,56.55325699--55.03796387,66.25160980--78.68138123,87.53189087--93.63224030
571,87.21501160--124.42514801,57.92595291--54.88730621,65.87907410--78.66525269,87.78125000--93.64378357
572,87.31357574--124.74753571,59.08916855--54.75036621,65.51918793--78.77375031,87.92951202--93.62983704
573,87.37120056--125.05023193,59.94714737--54.68234634,65.21334839--78.93497467,87.98174286--93.59754181
574,87.38920593--125.32788849,60.61758041--54.64878082,64.93586731--79.15537262,87.97450256--93.52976227
575,87.38140869--125.57176971,61.17500687--54.62737656,64.68090820--79.39907074,87.93849182--93.45019531
576,87.36196899--125.79855347,61.65411758--54.61193085,64.44261932--79.66651917,87.86488342--93.36206055
577,87.33063507--126.02658844,62.08320999--54.60304260,64.20681763--79.97541046,87.74868774--93.26127625
578,87.29138184--126.24086761,62.42432785--54.60897827,63.99203873--80.29679108,87.61029053--93.15931702
579,87.24699402--126.44281769,62.68778610--54.62412262,63.79871368--80.62725830,87.44907379--93.05683899
580,87.19764709--126.63156128,62.87965775--54.64692307,63.62688065--80.96083832,87.27154541--92.95783234
581,87.14424133--126.81169128,63.00008774--54.67821121,63.47586823--81.29851532,87.07421875--92.86281586
582,87.08523560--126.99082947,63.02725220--54.72432327,63.34766769--81.65015411,86.84323120--92.77022552
583,87.01961517--127.15251923,62.90958786--54.79276657,63.26256561--81.99582672,86.59011841--92.68913269
584,86.94692993--127.29088593,62.62090683--54.88532639,63.23107910--82.32544708,86.31384277--92.62384033
585,86.86528778--127.40137482,62.13345337--55.00587082,63.26218796--82.63307953,86.01282501--92.57807922
586,86.77248383--127.48087311,61.40767670--55.16085815,63.36689377--82.91627502,85.67935181--92.55471039
587,86.66577148--127.52327728,60.36063766--55.36440659,63.56843567--83.17140961,85.29643250--92.55854034
588,86.53315735--127.51359558,58.95576096--55.61870193,63.87851334--83.39055634,84.87227631--92.59727478
589,86.36989594--127.44605255,57.20347977--55.91870117,64.29580688--83.56722260,84.41348267--92.67332458
590,86.17286682--127.31887817,55.13213730--56.25867081,64.81391144--83.69800568,83.92909241--92.78649902
591,85.95779419--127.11594391,52.82768631--56.63184357,65.42721558--83.70777130,83.46636200--92.93385315
592,85.75762939--126.80277252,50.40487289--57.01883316,66.13432312--83.46769714,83.10331726--93.10297394
593,85.55056000--126.38632202,47.88351059--57.38452911,66.91792297--83.06049347,82.82489014--93.27960205
594,85.30261230--125.89867401,45.35904312--57.74984360,67.79689026--82.53351593,82.70912170--93.47383118
595,85.03173065--125.33697510,42.99061203--58.07413864,68.71453857--81.94932556,82.74722290--93.65972900
596,84.79295349--124.69935608,41.25088882--58.23377609,69.46214294--81.42883301,82.89921570--93.78353119
597,84.62136841--123.99855042,40.95779037--58.05363083,69.78875732--80.97402954,83.29460144--93.79107666
598,84.68132782--123.36556244,42.11243439--57.57695770,69.69596863--80.51457977,83.87678528--93.72991180
599,84.94439697--122.93503571,44.68728256--56.86470413,69.16815186--80.06096649,84.64295197--93.63340759
600,85.41302490--122.83576202,48.17857361--56.08789444,68.34346008--79.61643219,85.50087738--93.56250000
601,86.01507568--123.07270813,51.25202179--55.57530212,67.60299683--79.16960144,86.24487305--93.57397461
602,86.57213593--123.50499725,53.66757965--55.29949570,66.97158813--78.96645355,86.79912567--93.56886292
603,86.90073395--123.90328217,55.65028381--55.12766266,66.47408295--78.76184845,87.31295013--93.61270142
604,87.12866974--124.24405670,57.20948410--54.96865463,66.07877350--78.65636444,87.66619873--93.64147949
605,87.26794434--124.57102203,58.47424698--54.82282639,65.71598053--78.69960022,87.86009216--93.64104462
606,87.34476471--124.88329315,59.50040817--54.71258163,65.37967682--78.83500671,87.96546173--93.62004089
607,87.38407898--125.17813873,60.25930023--54.66518784,65.08816528--79.02834320,87.98033142--93.57007599
608,87.38668823--125.44258118,60.87845612--54.63859940,64.81764984--79.26677704,87.95881653--93.49354553
609,87.37306213--125.67501831,61.39715195--54.62023926,64.57201385--79.51715088,87.90997314--93.41149902
610,87.34915924--125.90040588,61.85243607--54.60700607,64.33652496--79.80037689,87.81774902--93.31822205
611,87.31414795--126.12223816,62.24405289--54.60411072,64.10962677--80.11505890,87.69142151--93.21668243
612,87.27258301--126.33179474,62.55013657--54.61455154,63.90399933--80.44190216,87.54119873--93.11384583
613,87.22537231--126.52982330,62.78228378--54.63348770,63.71875763--80.77765656,87.36988068--93.01153564
614,87.17388916--126.71350861,62.94195175--54.66011047,63.55644608--81.11260986,87.18517303--92.91450500
615,87.11831665--126.89237213,63.02569580--54.69672775,63.41483307--81.45517731,86.97485352--92.82070923
616,87.05688477--127.06449890,62.99470901--54.75167847,63.30408096--81.80433655,86.73455811--92.73278046
617,86.98854065--127.21680450,62.80510330--54.83037949,63.24143982--82.14376068,86.47099304--92.65811920
618,86.91212463--127.34426117,62.42835236--54.93572617,63.23708344--82.46559143,86.18177795--92.60073090
619,86.82511902--127.44113922,61.83815384--55.07108688,63.29977417--82.76337433,85.86724854--92.56465912
620,86.72628021--127.50518036,60.98114777--55.24566269,63.44408417--83.03518677,85.51380157--92.55264282
621,86.60971832--127.52579498,59.78256989--55.47088242,63.69191742--83.27445984,85.11323547--92.57122040
622,86.46488953--127.49105072,58.22257233--55.74602127,64.05000305--83.47446442,84.67309570--92.62628174
623,86.28764343--127.39659882,56.31674957--56.06593704,64.51550293--83.62981415,84.20025635--92.71926880
624,86.07447815--127.24187469,54.10621643--56.42345810,65.07872009--83.73902130,83.70679474--92.84909058
625,85.86721039--126.98711395,51.75920105--56.80616760,65.73307800--83.62070465,83.29479980--93.00817108
626,85.66613007--126.63039398,49.28496170--57.18602753,66.47641754--83.30643463,82.96685028--93.18128967
627,85.45220184--126.16515350,46.76411819--57.53139114,67.28077698--82.82940674,82.73376465--93.35681152
628,85.17907715--125.65689850,44.28205490--57.90182877,68.20948029--82.26526642,82.72109222--93.56066895
629,84.93066406--125.06223297,42.03339005--58.18883133,69.10305023--81.70244598,82.78190613--93.73036194
630,84.68475342--124.38329315,40.94593048--58.19043732,69.65704346--81.22535706,83.05413818--93.79716492
631,84.62402344--123.70062256,41.29649734--57.87394333,69.80031586--80.77066803,83.52981567--93.77098083
632,84.77349854--123.14066315,43.07287979--57.28847885,69.51870728--80.30744934,84.19349670--93.68939209
633,85.12271118--122.84595490,46.27632904--56.48823166,68.79082489--79.88176727,85.03408813--93.58602905
634,85.68119812--122.91104889,49.65230560--55.82221222,67.99224854--79.38783264,85.86301422--93.56838226
635,86.29124451--123.26738739,52.40459061--55.44052505,67.30940247--79.05959320,86.51179504--93.57801056
636,86.74144745--123.68808746,54.61360931--55.21498871,66.73348999--78.86092377,87.04435730--93.58525085
637,87.01538086--124.05777740,56.39307022--55.05467606,66.29104614--78.69499207,87.49363708--93.62910461
638,87.20034790--124.39205933,57.79725266--54.90222168,65.91569519--78.66131592,87.76263428--93.64396667
639,87.30624390--124.71474457,58.97981644--54.76266098,65.55532837--78.75791931,87.91895294--93.63262177
640,87.36728668--125.01930237,59.86664200--54.68735504,65.24434662--78.91449738,87.98004150--93.60263062
641,87.38877106--125.30083466,60.55337906--54.65144730,64.96367645--79.13150787,87.97587585--93.53740692
642,87.38252258--125.54854584,61.12165451--54.62942886,64.70568848--79.37465668,87.94253540--93.45826721
643,87.36416626--125.77567291,61.60703659--54.61349869,64.46658325--79.63813782,87.87408447--93.37148285
644,87.33427429--126.00299072,62.04128265--54.60356903,64.23092651--79.94200897,87.76239014--93.27210999
645,87.29582214--126.21858978,62.39178085--54.60786057,64.01391602--80.26199341,87.62628937--93.17024231
646,87.25191498--126.42240143,62.66370010--54.62210846,63.81793213--80.59249878,87.46656036--93.06741333
647,87.20285034--126.61304474,62.86297989--54.64431000,63.64344406--80.92695618,87.28993225--92.96765137
648,87.14981079--126.79348755,62.99073792--54.67467117,63.49044037--81.26380157,87.09541321--92.87236023
649,87.09150696--126.97257233,63.02976227--54.71870804,63.35944366--81.61364746,86.86855316--92.77949524
650,87.02678680--127.13629913,62.92950439--54.78443527,63.26924133--81.95990753,86.61808014--92.69707489
651,86.95500183--127.27763367,62.66006851--54.87435532,63.23161316--82.29175568,86.34386444--92.62983704
652,86.87433624--127.39147186,62.19312668--54.99216461,63.25604248--82.60234833,86.04479218--92.58180237
653,86.78253174--127.47421265,61.49390030--55.14325333,63.35253525--82.88840485,85.71525574--92.55600739
654,86.67741394--127.52098083,60.48490906--55.34097290,63.54262924--83.14689636,85.33815765--92.55668640
655,86.54812622--127.51722717,59.12033463--55.58961868,63.84061432--83.36983490,84.91865540--92.59149170
656,86.38873291--127.45593262,57.40298843--55.88525391,64.24718475--83.55069733,84.46299744--92.66358948
657,86.19541931--127.33472443,55.36012650--56.22187424,64.75611115--83.68595123,83.98027039--92.77310181
658,85.97833252--127.14279175,53.06459808--56.59278488,65.36045837--83.72382355,83.50665283--92.91761780
659,85.77761078--126.83959961,50.65983200--56.97977829,66.05736542--83.50106812,83.13679504--93.08518219
660,85.57228088--126.43482208,48.14611816--57.34843445,66.83390808--83.11085510,82.84881592--93.26121521
661,85.33100891--125.95143127,45.61748123--57.71110153,67.70001221--82.59261322,82.71008301--93.45254517
662,85.05650330--125.39656067,43.22540665--58.04306412,68.62226868--82.00360870,82.74325562--93.64174652
663,84.82012939--124.76760101,41.34563446--58.23645401,69.41139221--81.47451019,82.86832428--93.77743530
664,84.62405396--124.06610107,40.91079330--58.08704758,69.77726746--81.02133179,83.24392700--93.79339600
665,84.66372681--123.42189789,41.92042160--57.63824081,69.72734070--80.56443787,83.80552673--93.73846436
666,84.90682983--122.96404266,44.33474731--56.95222855,69.24985504--80.10432434,84.55249023--93.64545441
667,85.35121155--122.82564545,47.84041977--56.15254593,68.42213440--79.67240906,85.41648102--93.56168365
668,85.94976807--123.03113556,50.98067856--55.60914993,67.67083740--79.19761658,86.18199158--93.57258606
669,86.52628326--123.45912933,53.44607162--55.32267380,67.03370667--78.97941589,86.74890137--93.57215881
670,86.87425995--123.86283875,55.46611404--55.14325333,66.52169037--78.77576447,87.26679993--93.60844421
671,87.10995483--124.20767975,57.06413651--54.98393631,66.11845398--78.65823364,87.63894653--93.64014435
672,87.25711823--124.53732300,58.34986496--54.83803940,65.75381470--78.68955231,87.84255219--93.64195251
673,87.33779907--124.85237122,59.41452789--54.71920013,65.40969849--78.82077789,87.95965576--93.62229156
674,87.38198853--125.14914703,60.19243622--54.66835022,65.11610413--79.00539398,87.98210144--93.57730103
675,87.38793182--125.41658020,60.82104874--54.64063644,64.84450531--79.24008179,87.96356201--93.50225830
676,87.37542725--125.65111542,61.34743881--54.62166595,64.59710693--79.48862457,87.91780853--93.42082214
677,87.35248566--125.87676239,61.80762100--54.60795212,64.36111450--79.76834869,87.82945251--93.32864380
678,87.31802368--126.10093689,62.20979309--54.60341263,64.13109589--80.08335876,87.70462036--93.22672272
679,87.27693939--126.31138611,62.52337265--54.61307144,63.92346954--80.40884399,87.55739594--93.12416840
680,87.23046112--126.51001740,62.76224899--54.63114548,63.73666382--80.74297333,87.38861084--93.02189636
681,87.17951965--126.69455719,62.92923355--54.65681076,63.57234192--81.07715607,87.20584869--92.92453003
682,87.12450409--126.87369537,63.02198410--54.69205093,63.42846680--81.41848755,86.99863434--92.83043671
683,87.06356812--127.04821014,63.00527191--54.74494934,63.31308746--81.76934814,86.75955963--92.74102783
684,86.99571991--127.20273590,62.83214188--54.82138824,63.24517059--82.11058044,86.49840546--92.66483307
685,86.92018127--127.33257294,62.47645950--54.92361069,63.23441315--82.43407440,86.21254730--92.60563660
686,86.83454132--127.43254089,61.91147232--55.05525589,63.28950882--82.73386383,85.90165710--92.56732941
687,86.73728180--127.50031281,61.08667755--55.22498703,63.42419434--83.00821686,85.55317688--92.55257416
688,86.62339783--127.52626038,59.92138290--55.44565201,63.66178894--83.25122833,85.15580750--92.56762695
689,86.48109436--127.49724579,58.39511871--55.71635818,64.00923920--83.45600128,84.71891022--92.61900330
690,86.30679321--127.40900421,56.52464676--56.03162766,64.46349335--83.61663055,84.24923706--92.70811462
691,86.09732056--127.26079559,54.34747696--56.38483047,65.01581573--83.73108673,83.75794983--92.83403015
692,85.88829041--127.01853180,52.01023865--56.76549149,65.66056061--83.64319611,83.33366394--92.99055481
693,85.68778229--126.67192841,49.54470444--57.14788437,66.39643860--83.34604645,82.99697113--93.16312408
694,85.47537994--126.21788025,47.01951599--57.49895096,67.19721985--82.88475037,82.75285339--93.33937836
695,85.20759583--125.71471405,44.52436447--57.86913681,68.11528015--82.32901764,82.71601868--93.54146576
696,84.95310974--125.12804413,42.24541473--58.16537857,69.01514435--81.76085663,82.77162170--93.71524048
697,84.70839691--124.45901489,41.00084305--58.20510483,69.61592102--81.27252960,83.01582336--93.79600525
698,84.62152100--123.76972198,41.19839859--57.92038727,69.80349731--80.81679535,83.47351074--93.77699280
699,84.74995422--123.18923187,42.83214951--57.35815048,69.56585693--80.35371399,84.11915588--93.69905090
700,85.07917023--122.86084747,45.90179825--56.57419205,68.88096619--79.92214203,84.94390106--93.59605408
701,85.61926270--122.88936615,49.31348801--55.88097763,68.07398987--79.43887329,85.78022766--93.56674194
702,86.22885895--123.22114563,52.14488602--55.46971512,67.37614441--79.08361053,86.45150757--93.57745361
703,86.70587921--123.64633942,54.40375519--55.23165512,66.78398895--78.88652802,86.98702240--93.57923889
704,86.99024963--124.02391052,56.23100281--55.07126999,66.33074951--78.70949554,87.45513153--93.62579346
705,87.18534851--124.35860443,57.66760635--54.91715622,65.95244598--78.65770721,87.74336243--93.64408112
706,87.29862976--124.68177032,58.86823654--54.77549744,65.59188843--78.74245453,87.90760803--93.63523102
707,87.36304474--124.98805237,59.78440094--54.69264603,65.27565765--78.89437103,87.97790527--93.60747528
708,87.38816833--125.27332306,60.48761368--54.65427780,64.99192810--79.10765839,87.97695923--93.54500580
709,87.38350677--125.52506256,61.06766129--54.63143539,64.73064423--79.35041046,87.94628906--93.46624756
710,87.36626434--125.75279236,61.55987167--54.61503601,64.49049377--79.61011505,87.88298035--93.38078308
711,87.33788300--125.97935486,61.99888992--54.60418320,64.25509644--79.90879822,87.77587891--93.28288269
712,87.30025482--126.19620514,62.35858154--54.60683441,64.03598785--80.22726440,87.64212036--93.18118286
713,87.25682068--126.40174103,62.63883591--54.62017059,63.83744431--80.55759430,87.48400116--93.07807159
714,87.20805359--126.59442139,62.84576416--54.64171982,63.66020203--80.89305878,87.30818176--92.97752380
715,87.15534210--126.77532196,62.98075485--54.67121887,63.50515747--81.22924805,87.11629486--92.88189697
716,87.09773254--126.95422363,63.03097534--54.71331024,63.37157059--81.57717133,86.89360046--92.78885651
717,87.03388977--127.11985016,62.94766998--54.77635956,63.27644730--81.92386627,86.64577484--92.70516968
718,86.96299744--127.26406097,62.69726944--54.86364365,63.23279572--82.25775909,86.37372589--92.63604736
719,86.88330078--127.38127899,62.25068283--54.97874451,63.25057220--82.57136536,86.07650757--92.58574677
720,86.79246521--127.46725464,61.57711411--55.12610245,63.33907318--82.86031342,85.75062561--92.55755615
721,86.68882751--127.51817322,60.60521317--55.31813431,63.51800537--83.12203217,85.37934113--92.55518341
722,86.56273651--127.52022552,59.28083038--55.56110382,63.80393982--83.34871674,84.96455383--92.58612061
723,86.40710449--127.46518707,57.59928894--55.85218430,64.19954681--83.53379059,84.51226807--92.65423584
724,86.21762085--127.34998322,55.58522415--56.18544388,64.69927216--83.67342377,84.03127289--92.76007080
725,85.99871826--127.16883087,53.29866028--56.55406570,65.29479980--83.73885345,83.54705811--92.90165710
726,85.79730988--126.87535858,50.91276169--56.94077682,65.98136139--83.53301239,83.17085266--93.06760406
727,85.59378052--126.48199463,48.40775681--57.31201172,66.75068665--83.15947723,82.87367249--93.24285889
728,85.35909271--126.00268555,45.87623978--57.67159271,67.60368347--82.65001678,82.71220398--93.43102264
729,85.08129883--125.45448303,43.46185684--58.01086807,68.53009033--82.05680847,82.74018097--93.62329865
730,84.84747314--124.83391571,41.44591141--58.23705673,69.35946655--81.51997375,82.83856201--93.77038574
731,84.62734222--124.13273621,40.87388611--58.11770630,69.76293945--81.06912994,83.19450378--93.79486084
732,84.64727783--123.47928619,41.74197769--57.69688034,69.75450897--80.61521149,83.73574066--93.74656677
733,84.87115479--122.99612427,43.99244308--57.03894424,69.32825470--80.14818573,84.46303558--93.65783691
734,85.29038239--122.81875610,47.50532913--56.21828842,68.49948120--79.72866058,85.33250427--93.56134033
735,85.88451385--122.99113464,50.70709610--55.64440155,67.73900604--79.22589874,86.11897278--93.57113647
736,86.47972870--123.41305542,53.21894073--55.34677505,67.09729004--78.99251556,86.69751740--93.57525635
737,86.84669495--123.82166290,55.27534866--55.15933990,66.57077789--78.79067993,87.21855164--93.60382080
738,87.09010315--124.17098236,56.91459274--54.99951935,66.15869904--78.66190338,87.60971069--93.63829041
739,87.24542999--124.50354767,58.22187424--54.85391617,65.79203033--78.68090057,87.82345581--93.64244843
740,87.33020020--124.82131195,59.32687759--54.72613907,65.43976593--78.80763245,87.95309448--93.62407684
741,87.37958527--125.11977386,60.12428284--54.67172623,65.14426422--78.98267365,87.98363495--93.58441925
742,87.38909149--125.39008331,60.76216125--54.64281464,64.87185669--79.21317291,87.96816254--93.51101685
743,87.37770844--125.62699890,61.29672623--54.62316513,64.62249756--79.46024323,87.92521667--93.43006897
744,87.35569763--125.85305786,61.76193619--54.60903549,64.38584900--79.73665619,87.84072113--93.33897400
745,87.32178497--126.07964325,62.17490005--54.60282135,64.15264130--80.05206299,87.71740723--93.23664856
746,87.28119659--126.29088593,62.49589920--54.61169052,63.94309998--80.37593079,87.57337952--93.13449097
747,87.23552704--126.48992157,62.74124527--54.62890244,63.75492477--80.70806122,87.40734100--93.03238678
748,87.18515015--126.67543030,62.91559982--54.65359879,63.58858490--81.04154205,87.22639465--92.93464661
749,87.13065338--126.85488892,63.01704407--54.68755722,63.44248199--81.38173676,87.02214050--92.84024048
750,87.07014465--127.03185272,63.01427460--54.73846817,63.32250977--81.73439789,86.78417969--92.74937439
751,87.00279999--127.18845367,62.85725784--54.81270218,63.24945068--82.07733154,86.52552032--92.67169952
752,86.92813873--127.32050323,62.52248001--54.91178513,63.23242950--82.40222931,86.24320984--92.61079407
753,86.84388733--127.42352295,61.98239517--55.03973770,63.28003693--82.70389557,85.93586731--92.57026672
754,86.74818420--127.49496460,61.18887711--55.20479584,63.40536118--82.98075867,85.59217834--92.55282593
755,86.63681030--127.52619934,60.05616379--55.42099762,63.63288498--83.22759247,85.19786072--92.56442261
756,86.49691010--127.50283051,58.56359100--55.68723679,63.96969604--83.43717194,84.76424408--92.61214447
757,86.32548523--127.42080688,56.72970200--55.99764252,64.41236877--83.60311127,84.29806519--92.69734192
758,86.11987305--127.27915192,54.58683014--56.34642029,64.95363617--83.72264099,83.80921936--92.81930542
759,85.90926361--127.04912567,52.26013184--56.72484207,65.58868408--83.66455841,83.37313843--92.97311401
760,85.70941162--126.71237946,49.80343246--57.10956955,66.31725311--83.38401031,83.02793884--93.14503479
761,85.49844360--126.26918030,47.27463150--57.46595383,67.11433411--82.93819427,82.77304077--93.32186890
762,85.23594666--125.77085114,44.76725388--57.83548355,68.02159119--82.39105988,82.71199036--93.52189636
763,84.97554016--125.19208527,42.46012878--58.14043045,68.92692566--81.81858826,82.76210022--93.69941711
764,84.73228455--124.53295135,41.06310272--58.21723557,69.57287598--81.32025909,82.97827148--93.79362488
765,84.61961365--123.83857727,41.11280060--57.96377563,69.80285645--80.86407471,83.41847229--93.78222656
766,84.72782898--123.23998260,42.60594559--57.42553329,69.60834503--80.40106201,84.04638672--93.70860291
