,Coin 0,Coin 1,Coin 2,Coin 3
63,85.36779785--123.02136993,49.14690781--55.97415543,67.97227478--79.82758331,85.64943695--93.57980347
64,86.18104553--123.34702301,51.74409866--55.64038849,67.42929077--79.14711761,86.38041687--93.63992310
65,86.68937683--123.62081146,53.27528763--55.49969101,67.10701752--78.79618073,86.84294128--93.61048889
66,86.91414642--123.82955933,54.84753799--55.28052521,66.72119141--78.63799286,87.21655273--93.58990479
67,87.06507874--124.14738464,56.58080673--55.02562714,66.24265289--78.69997406,87.49217224--93.58644104
68,87.17730713--124.57028961,58.31219864--54.80447388,65.70433807--78.89237976,87.69847870--93.57904053
69,87.28164673--124.92192841,59.48781967--54.71844101,65.32676697--78.97982025,87.89004517--93.59632874
70,87.36758423--125.15015411,60.13671112--54.69753265,65.11825562--79.00900269,88.00737762--93.58743286
71,87.40245819--125.34363556,60.66164780--54.66185760,64.92481995--79.12640381,88.02825928--93.53702545
72,87.39402008--125.58348083,61.21758652--54.62217331,64.67352295--79.38838196,87.94677734--93.44776917
73,87.35161591--125.89143372,61.80374527--54.59937286,64.35869598--79.79712677,87.77851868--93.31642914
74,87.30014038--126.15212250,62.22913742--54.61169052,64.09283447--80.17646027,87.63717651--93.19963837
75,87.26472473--126.31462860,62.47605896--54.63030243,63.92382050--80.43601227,87.55006409--93.11951447
76,87.23495483--126.45479584,62.68465424--54.63606644,63.78224945--80.66924286,87.44544983--93.04652405
77,87.19438171--126.63700104,62.89580154--54.64576340,63.61706543--80.97666168,87.26859283--92.95335388
78,87.13436890--126.87392426,63.03460312--54.68371582,63.43400955--81.39502716,86.99349976--92.83352661
79,87.06049347--127.07755280,62.96339798--54.75912094,63.31023407--81.81008148,86.70667267--92.72942352
80,86.98353577--127.20404816,62.76198578--54.83726120,63.25582886--82.13481140,86.47997284--92.66345215
81,86.91444397--127.30178070,62.51161194--54.91015244,63.23582458--82.40225983,86.26585388--92.61687469
82,86.84841919--127.40555573,62.08051300--55.01598740,63.26449585--82.67170715,85.98635101--92.57589722
83,86.76942444--127.49919891,61.19052887--55.20607376,63.41259003--82.95824432,85.58518219--92.55144501
84,86.64524841--127.52417755,59.80112457--55.47067642,63.70410156--83.22185516,85.12739563--92.57066345
85,86.46412659--127.48550415,58.26577377--55.73624039,64.04244232--83.45810699,84.69789124--92.62675476
86,86.27565765--127.41446686,56.68935013--55.99640656,64.40612793--83.64965057,84.28616333--92.70330811
87,86.10369873--127.29666138,54.78255081--56.31098557,64.88732910--83.76206970,83.83782196--92.80992126
88,85.93849182--127.06163025,52.34881592--56.71463776,65.56896973--83.66576385,83.38768005--92.96811676
89,85.74153137--126.67934418,49.66975784--57.13440704,66.37828064--83.31534576,83.04128265--93.16058350
90,85.50967407--126.20423889,47.01033401--57.50010300,67.21850586--82.83074951,82.77726746--93.34172058
91,85.20649719--125.72277069,44.46699524--57.87243271,68.12762451--82.33081818,82.68055725--93.53025818
92,84.91297913--125.17675781,42.25172043--58.16138077,68.97418213--81.86153412,82.69219208--93.69413757
93,84.67376709--124.53382111,41.04634476--58.21854401,69.55683899--81.39660645,82.95241547--93.79431152
94,84.60427094--123.84946442,41.46929550--57.90533066,69.68894196--80.90816498,83.50351715--93.78197479
95,84.79726410--123.28513336,43.22748184--57.32884216,69.43374634--80.37133026,84.20079803--93.70858002
96,85.16495514--122.95513153,45.97065353--56.61610794,68.86551666--79.85192108,84.98423767--93.62208557
97,85.66033936--122.91116333,48.89005661--55.99264526,68.21368408--79.35501862,85.73006439--93.58303833
98,86.17639160--123.13092804,51.63266373--55.53440475,67.54138184--79.04392242,86.36642456--93.56178284
99,86.63777161--123.55339813,54.07842255--55.22540283,66.86523438--78.94619751,86.87537384--93.54609680
100,86.93231201--123.99107361,56.14121628--55.05101395,66.33303070--78.79425812,87.38511658--93.61177826
101,87.15914154--124.35579681,57.68125534--54.90807724,65.93343353--78.70314789,87.72869873--93.64414978
102,87.29850006--124.65942383,58.82547760--54.78840637,65.61045074--78.71219635,87.93122864--93.65052032
103,87.37490082--124.93873596,59.69262314--54.70167160,65.32677460--78.82162476,88.01205444--93.62751770
104,87.39930725--125.23101044,60.40975952--54.65299606,65.03758240--79.05213928,87.98777771--93.55876160
105,87.38491821--125.51380157,61.04011154--54.62683487,64.74469757--79.34398651,87.93209839--93.46694946
106,87.36132050--125.75846100,61.55746078--54.61468887,64.48597717--79.62747955,87.86718750--93.37623596
107,87.33612823--125.96884155,61.97412491--54.60833740,64.26436615--79.89862061,87.78492737--93.28765106
108,87.30598450--126.16283417,62.31666183--54.60727692,64.06491089--80.17679596,87.67537689--93.19750977
109,87.26625061--126.36891937,62.61349869--54.61436844,63.86550140--80.49987030,87.51647949--93.09513855
110,87.21484375--126.58304596,62.84546661--54.63569260,63.67118835--80.86431122,87.31858063--92.98480988
111,87.15724182--126.77840424,62.98127747--54.67062759,63.50573730--81.22759247,87.11099243--92.88159943
112,87.09809875--126.94770813,63.02171326--54.71426773,63.37706375--81.56789398,86.90150452--92.79190063
113,87.03763580--127.09844208,62.96173096--54.76893997,63.28441620--81.88910675,86.68021393--92.71452332
114,86.97245789--127.24394989,62.75589371--54.84701157,63.23197937--82.21288300,86.41792297--92.64477539
115,86.89646912--127.37452698,62.31455994--54.96457672,63.24407578--82.53831482,86.10432434--92.58860779
116,86.80299377--127.46767426,61.59944916--55.12247849,63.33843231--82.84322357,85.75813293--92.55741119
117,86.69065857--127.51634216,60.63409042--55.31250763,63.51257706--83.11386108,85.39232635--92.55529785
118,86.56215668--127.52135468,59.41511154--55.53548050,63.76850891--83.34455109,85.00356293--92.58259583
119,86.41969299--127.47705841,57.83847427--55.81068802,64.13686371--83.52729034,84.56858826--92.64337158
120,86.24808502--127.36661530,55.81485748--56.14990997,64.64350128--83.65587616,84.08210754--92.74633789
121,86.02729797--127.18366241,53.42789078--56.53437424,65.26477051--83.73358917,83.57306671--92.89190674
122,85.81137085--126.88823700,51.01491928--56.92509842,65.95387268--83.53644562,83.18902588--93.06025696
123,85.59803772--126.51036072,48.55286026--57.28978348,66.70132446--83.19263458,82.88171387--93.22998047
124,85.36534882--126.04854584,46.07460785--57.63913345,67.52136230--82.71585083,82.69853210--93.41030884
125,85.09122467--125.51059723,43.70223618--57.97718048,68.43255615--82.12599182,82.73588562--93.60568237
126,84.87751770--124.89128876,41.61138535--58.22683716,69.29353333--81.55737305,82.83874512--93.76683044
127,84.65188599--124.18475342,40.95146942--58.12476730,69.72842407--81.08209991,83.19393921--93.79689789
128,84.66329193--123.52300262,41.63109589--57.73744583,69.77796936--80.61769867,83.69780731--93.75337982
129,84.85543823--123.01030731,43.60263824--57.12655258,69.43458557--80.15148163,84.37366486--93.66928864
130,85.22354889--122.78292084,47.08297348--56.28619766,68.61002350--79.77429199,85.23053741--93.55521393
131,85.80687714--122.93892670,50.45460129--55.66552353,67.79736328--79.28852081,86.04502869--93.56385803
132,86.42726135--123.37737274,53.10509491--55.34672928,67.11962128--79.03000641,86.65592957--93.57649231
133,86.82718658--123.80394745,55.20470810--55.16382217,66.58447266--78.80950165,87.19592285--93.60562897
134,87.08368683--124.14955902,56.83571625--55.01296616,66.18271637--78.65116882,87.60569763--93.64289856
135,87.24484253--124.47328949,58.11963654--54.86881638,65.82935333--78.65279388,87.82137299--93.64781189
136,87.32855225--124.79424286,59.24436569--54.73306274,65.47076416--78.78936005,87.94528198--93.62552643
137,87.37567902--125.10315704,60.07912064--54.67240524,65.16049957--78.97759247,87.97525024--93.58487701
138,87.38617706--125.37996674,60.73368454--54.64384842,64.88168335--79.20999908,87.96368408--93.51280212
139,87.37742615--125.61347198,61.26626587--54.62541199,64.63595581--79.44626617,87.93047333--93.43531799
140,87.35877991--125.83162689,61.72439575--54.61057663,64.40695190--79.70678711,87.85543823--93.34881592
141,87.32641602--126.05912018,62.14482498--54.60172272,64.17300415--80.02019501,87.73146820--93.24649048
142,87.28468323--126.27838898,62.47990799--54.60962296,63.95586777--80.35432434,87.58134460--93.14094543
143,87.23768616--126.48236847,62.73103714--54.62793350,63.76289368--80.69406128,87.41265869--93.03656006
144,87.18740845--126.66543579,62.90481186--54.65298843,63.59748459--81.02433014,87.23658752--92.93978882
145,87.13450623--126.83895874,63.01054001--54.68478012,63.45378113--81.35392761,87.04203796--92.84811401
146,87.07572937--127.01634216,63.02308655--54.73236465,63.33081055--81.70308685,86.80743408--92.75708008
147,87.00900269--127.17898560,62.87729263--54.80592728,63.25241089--82.05225372,86.54396057--92.67652130
148,86.93360901--127.31523895,62.54404831--54.90624619,63.23240280--82.38437653,86.25719452--92.61332703
149,86.84819031--127.41851044,62.01410675--55.03263855,63.27642822--82.68847656,85.95297241--92.57202911
150,86.75282288--127.49015045,61.25781631--55.19072342,63.39196014--82.96431732,85.62001801--92.55348206
151,86.64559937--127.52568054,60.16900253--55.39995193,63.60774612--83.21079254,85.23298645--92.56201172
